ENSID,chrom,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_enformer,Gene name
ENSG00000104679,8,train,train,train,train,train,train,test,valid,train,train,train,train,train,R3HCC1
ENSG00000104687,8,train,train,train,train,train,train,test,valid,train,train,train,train,train,GSR
ENSG00000104689,8,train,train,train,train,train,train,test,valid,train,train,train,train,train,TNFRSF10A
ENSG00000104695,8,train,train,train,train,train,train,test,valid,train,train,train,train,train,PPP2CB
ENSG00000104714,8,train,train,train,train,train,train,test,valid,train,train,train,train,train,ERICH1
ENSG00000104722,8,train,train,train,train,train,train,test,valid,train,train,train,train,train,NEFM
ENSG00000104723,8,train,train,train,train,train,train,test,valid,train,train,train,train,train,TUSC3
ENSG00000104728,8,train,train,train,train,train,train,test,valid,train,train,train,train,train,ARHGEF10
ENSG00000104731,16,train,train,train,train,test,valid,train,train,train,train,train,train,train,KLHDC4
ENSG00000104738,8,train,train,train,train,train,train,test,valid,train,train,train,train,train,MCM4
ENSG00000104755,8,train,train,train,train,train,train,test,valid,train,train,train,train,train,ADAM2
ENSG00000104756,8,train,train,train,train,train,train,test,valid,train,train,train,train,train,KCTD9
ENSG00000104760,8,train,train,train,train,train,train,test,valid,train,train,train,train,train,FGL1
ENSG00000104763,8,train,train,train,train,train,train,test,valid,train,train,train,train,train,ASAH1
ENSG00000104765,8,train,train,train,train,train,train,test,valid,train,train,train,train,train,BNIP3L
ENSG00000104774,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,MAN2B1
ENSG00000104783,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,KCNN4
ENSG00000104804,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,TULP2
ENSG00000104805,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,NUCB1
ENSG00000104808,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,DHDH
ENSG00000104812,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,GYS1
ENSG00000104814,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,MAP4K1
ENSG00000104818,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,CGB2
ENSG00000104823,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,ECH1
ENSG00000104824,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,HNRNPL
ENSG00000104825,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,NFKBIB
ENSG00000104826,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,LHB
ENSG00000104827,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,CGB3
ENSG00000104833,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,TUBB4A
ENSG00000104835,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,SARS2
ENSG00000104848,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,KCNA7
ENSG00000104852,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,SNRNP70
ENSG00000104853,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,CLPTM1
ENSG00000104856,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,RELB
ENSG00000104859,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,CLASRP
ENSG00000104863,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,LIN7B
ENSG00000104866,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,PPP1R37
ENSG00000104870,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,FCGRT
ENSG00000104872,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,PIH1D1
ENSG00000104879,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,CKM
ENSG00000104880,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,ARHGEF18
ENSG00000104881,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,PPP1R13L
ENSG00000104883,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,PEX11G
ENSG00000104884,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,ERCC2
ENSG00000104885,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,DOT1L
ENSG00000104886,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,PLEKHJ1
ENSG00000104888,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,SLC17A7
ENSG00000104889,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,RNASEH2A
ENSG00000104892,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,KLC3
ENSG00000104894,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,CD37
ENSG00000104897,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,SF3A2
ENSG00000104899,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,AMH
ENSG00000104901,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,DKKL1
ENSG00000104903,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,LYL1
ENSG00000104904,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,OAZ1
ENSG00000104907,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,TRMT1
ENSG00000104915,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,STX10
ENSG00000104918,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,RETN
ENSG00000104921,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,FCER2
ENSG00000104936,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,DMPK
ENSG00000104938,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,CLEC4M
ENSG00000104941,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,RSPH6A
ENSG00000104946,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,TBC1D17
ENSG00000104951,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,IL4I1
ENSG00000104953,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,TLE6
ENSG00000104957,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,CCDC130
ENSG00000104960,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,PTOV1
ENSG00000104964,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,AES
ENSG00000104967,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,NOVA2
ENSG00000104969,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,SGTA
ENSG00000104970,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,KIR3DX1
ENSG00000104972,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,LILRB1
ENSG00000104973,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,MED25
ENSG00000104974,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,LILRA1
ENSG00000104976,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,SNAPC2
ENSG00000104979,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,C19orf53
ENSG00000104980,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,TIMM44
ENSG00000104983,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,CCDC61
ENSG00000104998,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,IL27RA
ENSG00000105011,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,ASF1B
ENSG00000105048,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,TNNT1
ENSG00000105053,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,VRK3
ENSG00000105058,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,FAM32A
ENSG00000105063,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,PPP6R1
ENSG00000105072,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,C19orf44
ENSG00000105085,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,MED26
ENSG00000105088,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,OLFM2
ENSG00000105122,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,RASAL3
ENSG00000105127,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,AKAP8
ENSG00000105131,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,EPHX3
ENSG00000105135,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,ILVBL
ENSG00000105136,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,ZNF419
ENSG00000105137,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,SYDE1
ENSG00000105141,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,CASP14
ENSG00000105143,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,SLC1A6
ENSG00000105146,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,AURKC
ENSG00000105171,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,POP4
ENSG00000105173,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,CCNE1
ENSG00000105176,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,URI1
ENSG00000105185,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,PDCD5
ENSG00000105186,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,ANKRD27
ENSG00000105197,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,TIMM50
ENSG00000105198,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,LGALS13
ENSG00000105202,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,FBL
ENSG00000105204,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,DYRK1B
ENSG00000105205,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,CLC
ENSG00000105219,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,CNTD2
ENSG00000105220,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,GPI
ENSG00000105221,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,AKT2
ENSG00000105223,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,PLD3
ENSG00000105227,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,PRX
ENSG00000105229,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,PIAS4
ENSG00000105245,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,NUMBL
ENSG00000105246,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,EBI3
ENSG00000105248,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,CCDC94
ENSG00000105251,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,SHD
ENSG00000105254,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,TBCB
ENSG00000105255,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,FSD1
ENSG00000105258,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,POLR2I
ENSG00000105261,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,OVOL3
ENSG00000105270,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,CLIP3
ENSG00000105278,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,ZFR2
ENSG00000105281,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,SLC1A5
ENSG00000105287,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,PRKD2
ENSG00000105289,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,TJP3
ENSG00000105290,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,APLP1
ENSG00000105298,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,CACTIN
ENSG00000105321,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,CCDC9
ENSG00000105323,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,HNRNPUL1
ENSG00000105325,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,FZR1
ENSG00000105327,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,BBC3
ENSG00000105329,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,TGFB1
ENSG00000105339,8,train,train,train,train,train,train,test,valid,train,train,train,train,train,DENND3
ENSG00000105341,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,ATP5SL
ENSG00000105352,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,CEACAM4
ENSG00000105355,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,PLIN3
ENSG00000105357,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,MYH14
ENSG00000105366,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,SIGLEC8
ENSG00000105369,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,CD79A
ENSG00000105370,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,LIM2
ENSG00000105371,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,ICAM4
ENSG00000105373,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,GLTSCR2
ENSG00000105374,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,NKG7
ENSG00000105376,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,ICAM5
ENSG00000105379,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,ETFB
ENSG00000105383,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,CD33
ENSG00000105388,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,CEACAM5
ENSG00000105392,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,CRX
ENSG00000105393,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,BABAM1
ENSG00000105397,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,TYK2
ENSG00000105398,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,SULT2A1
ENSG00000105401,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,CDC37
ENSG00000105402,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,NAPA
ENSG00000105404,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,RABAC1
ENSG00000105409,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,ATP1A3
ENSG00000105419,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,MEIS3
ENSG00000105426,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,PTPRS
ENSG00000105427,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,CNFN
ENSG00000105428,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,ZNRF4
ENSG00000105429,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,MEGF8
ENSG00000105438,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,KDELR1
ENSG00000105443,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,CYTH2
ENSG00000105447,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,GRWD1
ENSG00000105464,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,GRIN2D
ENSG00000105467,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,SYNGR4
ENSG00000105472,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,CLEC11A
ENSG00000105479,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,CCDC114
ENSG00000105483,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,CARD8
ENSG00000105486,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,LIG1
ENSG00000105492,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,SIGLEC6
ENSG00000105497,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,ZNF175
ENSG00000105499,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,PLA2G4C
ENSG00000105501,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,SIGLEC5
ENSG00000105507,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,CABP5
ENSG00000105509,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,HAS1
ENSG00000105514,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,RAB3D
ENSG00000105516,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,DBP
ENSG00000105518,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,TMEM205
ENSG00000105519,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,CAPS
ENSG00000105520,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,PLPPR2
ENSG00000105523,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,FAM83E
ENSG00000105538,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,RASIP1
ENSG00000105549,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,THEG
ENSG00000105550,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,FGF21
ENSG00000105552,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,BCAT2
ENSG00000105556,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,MIER2
ENSG00000105559,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,PLEKHA4
ENSG00000105568,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,PPP2R1A
ENSG00000105576,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,TNPO2
ENSG00000105583,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,WDR83OS
ENSG00000105605,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,CACNG7
ENSG00000105607,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,GCDH
ENSG00000105609,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,LILRB5
ENSG00000105610,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,KLF1
ENSG00000105612,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,DNASE2
ENSG00000105613,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,MAST1
ENSG00000105617,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,LENG1
ENSG00000105618,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,PRPF31
ENSG00000105619,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,TFPT
ENSG00000105639,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,JAK3
ENSG00000105641,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,SLC5A5
ENSG00000105642,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,KCNN1
ENSG00000105643,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,ARRDC2
ENSG00000105647,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,PIK3R2
ENSG00000105649,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,RAB3A
ENSG00000105650,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,PDE4C
ENSG00000105655,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,ISYNA1
ENSG00000105656,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,ELL
ENSG00000105662,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,CRTC1
ENSG00000105664,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,COMP
ENSG00000105668,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,UPK1A
ENSG00000105669,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,COPE
ENSG00000105671,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,DDX49
ENSG00000105672,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,ETV2
ENSG00000105675,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,ATP4A
ENSG00000105676,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,ARMC6
ENSG00000105677,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,TMEM147
ENSG00000105679,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,GAPDHS
ENSG00000105695,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,MAG
ENSG00000105696,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,TMEM59L
ENSG00000105697,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,HAMP
ENSG00000105698,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,USF2
ENSG00000105699,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,LSR
ENSG00000105700,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,KXD1
ENSG00000105701,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,FKBP8
ENSG00000105705,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,SUGP1
ENSG00000105707,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,HPN
ENSG00000105708,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,ZNF14
ENSG00000105711,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,SCN1B
ENSG00000105717,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,PBX4
ENSG00000105722,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,ERF
ENSG00000105723,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,GSK3A
ENSG00000105726,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,ATP13A1
ENSG00000105732,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,ZNF574
ENSG00000105737,19,train,train,train,train,train,train,train,test,valid,train,train,train,train,GRIK5
ENSG00000105738,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,SIPA1L3
ENSG00000105750,19,train,train,train,train,train,train,train,test,valid,train,train,train,valid,ZNF85
ENSG00000105755,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,ETHE1
ENSG00000105767,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,CADM4
ENSG00000105771,19,train,train,train,train,train,train,train,test,valid,train,train,train,test,SMG9
ENSG00000105778,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,AVL9
ENSG00000105784,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,RUNDC3B
ENSG00000105792,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,CFAP69
ENSG00000105793,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,GTPBP10
ENSG00000105808,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,RASA4
ENSG00000105810,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,CDK6
ENSG00000105819,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,PMPCB
ENSG00000105821,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,DNAJC2
ENSG00000105825,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,TFPI2
ENSG00000105829,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,BET1
ENSG00000105835,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,NAMPT
ENSG00000105849,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,TWISTNB
ENSG00000105851,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,PIK3CG
ENSG00000105852,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,PON3
ENSG00000105854,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,PON2
ENSG00000105855,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,ITGB8
ENSG00000105856,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,HBP1
ENSG00000105865,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,DUS4L
ENSG00000105866,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,SP4
ENSG00000105875,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,WDR91
ENSG00000105877,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,DNAH11
ENSG00000105879,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,CBLL1
ENSG00000105880,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,DLX5
ENSG00000105887,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,MTPN
ENSG00000105889,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,STEAP1B
ENSG00000105894,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,PTN
ENSG00000105926,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,MPP6
ENSG00000105928,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,DFNA5
ENSG00000105929,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,ATP6V0A4
ENSG00000105939,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,ZC3HAV1
ENSG00000105948,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,TTC26
ENSG00000105953,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,OGDH
ENSG00000105954,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,NPVF
ENSG00000105963,7,train,train,train,train,train,test,valid,train,train,train,train,train,valid,ADAP1
ENSG00000105967,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,TFEC
ENSG00000105968,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,H2AFV
ENSG00000105971,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,CAV2
ENSG00000105974,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,CAV1
ENSG00000105976,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,MET
ENSG00000105982,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,RNF32
ENSG00000105983,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,LMBR1
ENSG00000105989,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,WNT2
ENSG00000105991,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,HOXA1
ENSG00000105993,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,DNAJB6
ENSG00000105996,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,HOXA2
ENSG00000105997,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,HOXA3
ENSG00000106003,7,train,train,train,train,train,test,valid,train,train,train,train,train,valid,LFNG
ENSG00000106004,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,HOXA5
ENSG00000106006,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,HOXA6
ENSG00000106009,7,train,train,train,train,train,test,valid,train,train,train,train,train,valid,BRAT1
ENSG00000106012,7,train,train,train,train,train,test,valid,train,train,train,train,train,valid,IQCE
ENSG00000106013,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,ANKRD7
ENSG00000106018,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,VIPR2
ENSG00000106025,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,TSPAN12
ENSG00000106028,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,SSBP1
ENSG00000106031,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,HOXA13
ENSG00000106034,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,CPED1
ENSG00000106038,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,EVX1
ENSG00000106049,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,HIBADH
ENSG00000106052,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,TAX1BP1
ENSG00000106066,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,CPVL
ENSG00000106069,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,CHN2
ENSG00000106070,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,GRB10
ENSG00000106077,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,ABHD11
ENSG00000106078,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,COBL
ENSG00000106080,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,FKBP14
ENSG00000106086,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,PLEKHA8
ENSG00000106089,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,STX1A
ENSG00000106100,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,NOD1
ENSG00000106105,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,GARS
ENSG00000106113,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,CRHR2
ENSG00000106123,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,EPHB6
ENSG00000106125,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,MINDY4
ENSG00000106128,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,GHRHR
ENSG00000106144,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,CASP2
ENSG00000106153,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,CHCHD2
ENSG00000106178,7,train,train,train,train,train,test,valid,train,train,train,train,train,train,CCL24
